top - 15:27:06 up 49 min,  1 user,  load average: 0.74, 0.64, 0.37
Tasks: 317 total,   1 running, 316 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni, 95.2 id,  4.8 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    225.4 free,   2491.1 used,   1146.9 buff/cache     
MiB Swap:   3771.0 total,   3680.9 free,     90.1 used.   1376.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2250 sysadmin  20   0  392184   6292   6036 S   0.0   0.2   0:00.01 gsd-a11+
   2251 sysadmin  20   0  421620  16584  14280 S   0.0   0.4   0:00.07 gsd-col+
   2252 sysadmin  20   0  440336  11080  10440 S   0.0   0.3   0:00.01 gsd-dat+
   2254 sysadmin  20   0  467528   7512   7000 S   0.0   0.2   0:00.04 gsd-hou+
   2258 sysadmin  20   0  419904  16304  14128 S   0.0   0.4   0:00.06 gsd-key+
   2260 sysadmin  20   0  602776  21340  17756 S   0.0   0.5   0:00.09 gsd-med+
   2261 sysadmin  20   0  605912  20464  17008 S   0.0   0.5   0:00.07 gsd-pow+
   2262 sysadmin  20   0  332296  10828  10060 S   0.0   0.3   0:00.01 gsd-pri+
   2265 sysadmin  20   0  539752   6316   6060 S   0.0   0.2   0:00.01 gsd-rfk+
   2270 sysadmin  20   0  318228   5796   5668 S   0.0   0.1   0:00.01 gsd-scr+
   2275 sysadmin  20   0  551852   9684   8788 S   0.0   0.2   0:00.02 gsd-sha+
   2277 sysadmin  20   0  394484   7012   6756 S   0.0   0.2   0:00.01 gsd-sma+
   2278 sysadmin  20   0  402300   8432   7920 S   0.0   0.2   0:00.01 gsd-sou+
   2279 sysadmin  20   0  494612  17152  14464 S   0.0   0.4   0:00.06 gsd-wac+
   2303 sysadmin  20   0  305624   7380   6228 S   0.0   0.2   0:00.01 gsd-dis+
   2322 sysadmin  20   0  906064  58288  44592 S   0.0   1.5   0:00.17 evoluti+
   2365 sysadmin  20   0  555324  21424  17840 S   0.0   0.5   0:00.03 goa-dae+
   2416 sysadmin  20   0  424904  13792  11872 S   0.0   0.3   0:00.00 gsd-pri+
   2457 sysadmin  20   0 1178064  23088  19632 S   0.0   0.6   0:00.06 evoluti+
   2459 sysadmin  20   0  619176  10352   8944 S   0.0   0.3   0:00.09 gvfs-ud+
   2463 sysadmin  20   0  471524   9068   8172 S   0.0   0.2   0:00.01 goa-ide+
   2487 sysadmin  20   0  398044   7552   7040 S   0.0   0.2   0:00.14 gvfs-af+
   2498 sysadmin  20   0  318460   6120   5864 S   0.0   0.2   0:00.00 gvfs-mt+
   2502 sysadmin  20   0  834104  28664  24696 S   0.0   0.7   0:00.06 evoluti+
   2510 sysadmin  20   0  319428   6596   6084 S   0.0   0.2   0:00.01 gvfs-gp+
   2520 sysadmin  20   0  245312   7080   6440 S   0.0   0.2   0:00.00 ibus-me+
   2521 sysadmin  20   0  429636  26236  15548 S   0.0   0.7   0:01.67 ibus-ex+
